premio_effet_anno_incorso,eta_polizza,bonus_malus
567.55,7,02
546.0,8,01
566.72,7,1A
983.7221,6,11
947.1468,7,10
981.9541,8,09
325.69,7,1E
329.91,8,1F
342.11,7,1G
473.0481,15,1E
491.7426,16,1F
509.9518,17,1G
517.48,6,03
504.95,7,02
528.53,7,01
405.8097,7,1F
422.0631,8,1G
441.1529,7,1H
398.6615,8,1F
449.8834,9,1G
449.673,7,1H
663.12,9,04
679.79,10,03
707.83,11,02
353.1252,11,1D
366.9684,12,1E
375.54385,7,1F
457.7217,7,1E
476.4059,8,1F
488.13702,9,1G
421.1155,10,07
404.0484,11,06
411.76465,7,05
253.2667,10,1F
263.0208,11,1G
268.44552999999996,7,1H
211.0985,11,1F
272.8985,12,1G
278.31363,7,1H
290.9,9,1E
302.69,10,1F
315.29,7,1G
411.0112,7,1E
427.244,8,1F
427.08646,7,1G
285.52,6,1E
325.55,7,1F
337.75,7,1G
486.61,13,07
471.21,14,06
471.21,15,06
353.18699999999995,7,1F
362.9514,8,1G
369.9049,7,1H
417.54,7,02
756.99,6,13
776.09,7,12
785.44,7,11
493.1846,9,1C
478.5998,10,1D
496.06032999999996,7,1E
477.2299,6,1A
465.0244,7,1B
464.5729,7,1B
890.71,6,12
926.4,7,11
942.26,8,10
604.44,6,02
665.02,7,04
698.76,8,03
341.84,9,1F
355.66,10,1G
372.32,7,1H
418.38599999999997,7,1D
435.4634,8,1E
456.9789,7,1F
289.3579,6,1F
312.1621,7,1G
328.09665,7,1H
404.7282,6,1A
404.7282,7,1B
419.7497,7,1C
205.58,8,1F
265.79,9,1G
275.95,7,1H
257.92,10,1F
294.72,11,1G
306.1,7,1H
448.05,13,07
425.52,14,06
441.79,15,05
360.36,6,1F
365.79,7,1G
379.6,7,1H
530.26,6,05
521.52,7,04
541.44,7,03
291.4591,12,1E
302.8509,7,1F
315.54285,7,1G
400.01,8,06
395.48,9,05
410.52,7,04
259.4,8,1F
268.23,9,1G
278.39,7,1H
272.42,9,1E
288.57,10,1F
299.55,7,1G
464.4888,6,1C
470.1847,7,1D
491.6665,7,1E
426.7599,5,1E
390.6378,7,1F
406.0672,8,1G
420.31564000000003,9,1H
729.9095,6,05
734.8432,7,04
761.0484,7,03
396.5397,7,02
412.0,8,01
428.66083,7,1A
393.56300000000005,10,1F
395.1904,11,1G
409.4288,7,1H
270.0248,6,1D
286.2576,7,1E
300.63263,7,1F
520.6753,12,02
501.9911,13,01
520.18005,7,1A
401.09,7,1C
435.23,7,1D
446.21,7,1E
536.9699,12,02
590.6432,13,04
604.67126,7,03
433.64,12,1B
444.62,13,1C
455.59,7,1D
262.0938,18,1E
272.6719,19,1F
286.20605,20,1G
273.44,6,1B
264.03,7,1C
276.63,7,1D
360.2013,6,1F
392.73900000000003,7,1G
392.3577,7,1H
381.9446,13,1F
417.7268,14,1G
427.88907,15,1H
267.285,12,1F
303.0466,13,1G
315.74866000000003,7,1H
402.5446,10,02
412.2987,7,01
428.9695,7,1A
291.5312,11,1F
326.4894,12,1G
334.3015,7,1H
313.66,9,1E
326.26,10,1F
326.26,7,1F
354.11400000000003,6,1D
367.9469,7,1E
367.58966000000004,7,1E
776.1874,5,09
776.1874,6,08
794.9436599999999,7,07
406.1187,15,1F
448.4002,16,1G
466.6515,7,1H
295.7542,9,1F
319.3309,10,1G
333.62237999999996,7,1H
417.52,6,1E
434.19,7,1F
452.48,7,1G
377.51,7,1B
371.84,8,1C
386.07,9,1D
412.9064,10,1F
414.5235,11,1G
451.48404000000005,7,1F
278.7386,9,1D
290.1304,10,1E
302.03207000000003,7,1F
357.67,11,1C
371.9,12,1D
387.35,7,1E
352.01,8,1B
360.95,9,1C
376.0,7,1D
437.67,6,02
454.95,7,01
454.95,7,01
317.9095,11,1F
330.9184,12,1G
342.79077,7,1H
275.4014,7,1F
286.8035,8,1G
297.0723,7,1H
349.0052,13,1D
366.06199999999995,14,1C
379.54666000000003,7,1D
412.9682,7,01
429.2525,8,1A
428.83575,7,1B
300.142,9,1F
312.3372,10,1G
323.4147,7,1H
470.33,9,03
489.03,7,02
489.03,8,02
338.99,12,1B
352.4,13,1C
367.03,7,1D
398.01,7,1F
443.13,7,1G
461.83,8,1H
241.59,9,1B
251.35,7,1C
261.91,7,1D
568.663,11,01
568.663,12,01
299.20799999999997,8,1E
309.7848,9,1F
317.7758,10,1G
304.73,7,1A
290.63,8,1B
290.63,9,1B
302.6,7,1B
292.94,8,1C
303.91,9,1D
462.18,9,1E
480.47,10,1F
500.79,11,1G
208.47,9,1B
216.61,10,1C
225.55,11,1D
644.02,8,04
660.15,9,03
660.15,10,02
444.3608,7,1F
469.5704,8,1G
483.91812000000004,9,1H
377.4784,9,1E
385.6112,10,1F
396.01065,11,1G
344.85,7,1A
340.56,8,1B
353.57,9,1C
529.2456,7,06
542.2456,8,05
519.6244,9,04
313.71,7,1F
326.31,8,1G
326.31,9,1H
343.3456,7,1E
357.1568,8,1F
367.06487999999996,9,1G
346.00800000000004,13,1D
359.8296,14,1E
369.68883999999997,15,1F
337.3656,6,1A
347.1208,7,1B
356.3324,8,1C
362.0448,6,1F
373.4224,7,1G
383.13785,8,1H
495.9038,14,03
508.1093,7,02
449.96112,8,01
336.56,7,1D
350.0,7,1E
364.62,8,1F
462.18,8,1F
466.23,7,1G
484.12,8,1H
893.2984,7,03
915.3404,8,02
914.4517,7,02
508.923,6,06
508.1093,7,05
527.095,7,04
455.68,9,01
467.05,10,1A
484.94,11,1B
679.6867,11,1A
660.951,12,1B
685.4992,7,1C
275.63,16,1F
286.61,17,1G
298.8,7,1H
269.9,7,1F
280.87,7,1G
292.66,8,1H
292.6436,6,1F
303.2114,7,1G
314.29776,6,1H
266.24,11,1F
276.81,12,1G
288.6,6,1H
255.5072,6,1F
264.4616,7,1G
271.32672,8,1H
358.93,25,1E
388.6,26,1F
404.86,27,1G
161.77,21,1F
186.16,22,1G
193.07,23,1H
290.23,7,1F
302.83,8,1G
314.21,9,1H
571.5632,7,09
586.2064,8,08
580.0061599999999,9,08
417.87199999999996,7,1E
446.3056,8,1F
480.99575999999996,9,1E
466.2632,6,1D
459.7632,7,1E
471.7759,8,1F
259.74,6,1F
285.35,7,1G
296.32,8,1H
296.67,6,1D
304.0,7,1E
304.0,8,1E
270.62,10,1E
281.59,11,1F
293.38,12,1G
438.19,5,1D
447.95,6,1E
465.03,7,1F
657.71,5,04
643.48,6,03
667.87,7,02
475.9939,7,1F
510.9212,7,1G
530.7376,7,1H
298.36,17,1E
305.67,18,1F
317.46,7,1G
377.26,7,1F
392.3,8,1G
408.96,7,1H
291.8299,15,1F
303.2114,16,1G
315.92357999999996,6,1H
473.6867,5,1C
492.3915,6,1D
510.5898,7,1E
339.41,14,1A
347.95,15,1B
362.58,16,1C
303.23,33,1D
310.95,34,1E
323.97,35,1F
571.2071,6,04
536.2695,7,03
556.0509999999999,8,02
295.11,6,1E
301.6,7,1F
312.99,8,1G
402.4004,5,1E
408.1066,6,1F
423.1351,7,1G
332.48400000000004,5,1C
337.3662,6,1D
350.0555,7,1E
284.59,9,1F
302.46,10,1G
313.84,11,1H
341.44,17,1E
382.5,18,1F
398.76,19,1G
272.76,6,1F
331.28,7,1G
343.89,8,1H
723.5441,14,01
752.8064,15,1A
752.0755,16,1B
467.4346,7,1A
311.3484,18,1F
348.7374,19,1G
363.0312,20,1H
443.0545,17,1F
460.9456,18,1G
479.99762000000004,7,1H
331.28,23,1C
371.52,24,1D
283.5899,4,1D
299.0193,5,1E
325.55502,6,1D
747.368,5,02
539.8127,12,1F
544.6846,13,1G
592.8892,6,1F
696.6199,6,06
683.6110000000001,7,05
708.9398,8,04
386.8268,12,1F
407.983,13,1G
422.99102999999997,6,1H
378.84,8,1F
413.4,9,1G
430.87,10,1H
401.6,8,1C
417.46,9,1D
417.46,10,1E
478.84,8,07
489.82,9,06
500.0,10,05
317.44,7,1F
355.66,8,1G
364.6,9,1H
171.93,6,1F
187.79,7,1G
191.85,8,1H
359.22,6,1D
372.64,7,1E
380.37,8,1F
331.28,6,1E
341.03,7,1F
348.36,8,1G
302.83,7,1F
339.01,7,1G
347.54,8,1H
386.97,6,1D
412.58,7,1E
422.75,8,1F
295.91,5,1E
319.5,6,1F
319.5,7,1F
445.91,10,1D
461.77,11,1E
471.52,6,1F
397.5285,7,02
311.34,16,1D
320.75,17,1E
327.67,6,1F
418.5405,9,1D
423.4021,10,1E
431.94333,7,1F
492.648,9,1F
512.1688,10,1G
526.8480000000001,11,1H
367.4528,8,1F
411.3408,9,1G
406.99008,10,1H
306.4662,7,1D
318.6717,7,1E
326.49142,8,1F
435.35,9,1D
478.84,10,1C
490.63,11,1D
448.7392,9,05
460.148,10,04
466.51773,11,03
296.7224,8,1F
328.43199999999996,9,1G
332.9844,10,1H
285.3344,8,1F
296.7224,9,1G
300.80756,10,1H
405.4024,7,1F
419.2032,8,1G
423.6393,9,1H
327.6104,7,1B
324.3656,8,1C
327.36606,9,1D
374.37,7,01
383.72,8,1A
391.85,9,1B
348.76,6,1A
344.29,7,1B
351.6,8,1C
264.1912,6,1F
295.9112,7,1G
304.03864,8,1H
271.94,6,1F
306.08,7,1G
339.01,8,1F
443.0545,9,1B
460.9456,10,1C
501.92562999999996,11,1B
332.48400000000004,6,1F
392.6463,7,1G
400.40448,7,1H
