premio_effet_anno_incorso,eta_polizza,bonus_malus
545.4056,3,1A
559.2076,4,1B
587.09595,5,1C
278.22,8,1F
314.8,7,1G
330.65,8,1H
396.77,10,03
383.35,11,02
401.24,12,01
577.2017,4,10
591.8277,5,09
615.6301,6,08
721.1030000000001,4,04
700.7914,5,03
726.09326,6,02
551.5135,8,06
547.1669,9,05
566.6497,10,04
437.3689,6,1C
455.2497,7,1D
471.86852999999996,8,1E
498.71,7,1B
511.31,8,1C
532.45,9,1D
382.0682,8,1F
393.46,9,1G
407.7104,10,1H
991.8385,4,10
966.6859,5,09
1001.4948,6,08
1104.0261,3,11
1078.0289,4,10
1112.6989,5,09
367.64,9,1A
366.98,10,1B
380.39,11,1C
758.21,3,14
751.2,4,13
756.48,5,12
346.94,8,1F
360.55,9,1G
377.62,10,1H
283.73,6,1F
317.88,7,1G
330.88,8,1H
388.5263,4,1B
386.8783,5,1C
394.6421,6,1D
259.9514,10,1F
270.5089,11,1G
284.04517000000004,12,1H
338.05,3,1C
374.19,4,1D
387.98,5,1E
234.95,12,1E
249.21,13,1F
261.0,14,1G
363.6621,3,1D
378.3087,4,1E
377.9414,5,1F
369.8833,8,1D
378.8237,9,1E
396.33994,10,1F
388.5263,4,1E
402.3489,5,1F
416.55978,6,1G
759.56,5,06
778.8,6,05
897.1,7,07
337.75,8,1F
378.47,9,1G
396.37,10,1H
832.7344,4,10
832.7344,5,09
867.6631,6,08
485.08,5,1D
240.83,13,1F
269.53,14,1G
283.35,15,1H
491.8353,3,01
491.8353,4,1A
516.5477,5,1B
250.71,9,1F
276.41,10,1G
287.79,11,1H
337.29,7,1F
362.08,8,1G
362.08,7,1H
593.3521,4,1E
595.7829,5,1F
595.20447,6,1F
346.07,4,1F
376.15,5,1G
395.25,6,1H
411.7837,6,1C
428.0268,7,1D
449.54953,8,1E
590.2312,5,03
566.6442,6,02
592.8892,6,01
835.7626,7,09
869.1037,7,08
903.9868,7,07
487.6638,14,1F
538.8857,15,1G
542.4374,16,1H
222.34,7,1F
231.28,8,1G
241.03,9,1H
395.7878,15,1E
425.8638,16,1D
441.67767000000003,6,1E
342.6,6,01
329.66,7,1A
342.26,8,1B
270.2102,6,1F
324.6766,7,1G
339.7964,6,1H
275.63,13,1E
286.61,14,1F
286.61,15,1G
215.83,8,1F
224.37,9,1G
233.72,7,1H
356.07099999999997,6,1F
370.69699999999995,7,1G
385.7721,8,1H
560.9483,12,1F
595.1031,13,1G
614.83777,7,1H
468.06,7,1F
483.72,8,1G
502.01,6,1H
265.58,11,1F
274.79,12,1G
285.35,6,1H
354.05,11,1B
349.58,12,1C
366.24,6,1D
336.97,3,1B
344.29,4,1C
360.95,5,1D
404.46,7,1B
395.91,8,1C
415.03,9,1D
396.7251,4,1D
389.4018,5,1E
407.7104,6,1F
356.48,4,1D
349.58,5,1E
366.24,6,1F
330.47,32,1F
356.48,33,1G
356.48,34,1H
242.66,8,1F
268.68,9,1G
268.68,10,1H
361.95,7,1B
380.24,8,1A
398.13,9,1B
293.33,6,1F
333.58,7,1G
373.41,6,1F
329.66,8,1F
337.79,9,1G
355.27,10,1H
261.36,15,1E
271.93,16,1F
286.16,17,1G
248.36,22,1E
258.11,23,1F
258.11,24,1G
264.1847,14,1B
270.7046,15,1C
284.25095,16,1D
391.8223,11,1F
430.8696,12,1G
450.74316,13,1H
238.19,7,1F
272.34,8,1G
286.56,9,1H
228.86599999999999,6,1F
237.8064,7,1G
249.76917000000003,7,1H
279.25,7,1D
302.01,8,1E
317.87,9,1F
247.95,11,1F
273.15,12,1G
287.39,13,1H
269.9,13,1B
276.81,14,1C
276.82,15,1D
316.65,13,1E
329.25,14,1F
346.32,15,1G
254.46,25,1E
275.59,26,1F
275.59,27,1G
534.8172,5,07
547.8261,6,06
575.7461,7,05
400.39,10,1C
402.01,11,1D
421.12,12,1E
292.66,10,1E
304.46,11,1F
320.31,12,1G
316.2306,7,1E
324.3676,8,1F
341.1032,9,1G
362.18,22,1E
371.12,23,1F
390.23,24,1G
348.7374,6,1D
362.5703,7,1E
380.89465,8,1F
358.7078,3,01
348.14,4,1A
360.7674,5,1B
1495.9102,3,14
1464.9999,4,13
1488.7778,5,12
535.3,6,1F
544.45,7,1G
555.72,6,1H
1025.5288,5,04
396.9002,7,1F
410.7125,8,1G
419.25577000000004,7,1H
328.46,6,05
607.274,8,04
637.749,9,06
660.3183,10,05
172.37,16,1F
198.36,17,1G
203.23,18,1H
635.4482,5,1B
684.1878,3,08
724.0282,4,07
723.32526,5,06
678.51,5,04
648.3,6,03
661.78,6,02
803.194,5,09
823.5468,6,08
853.60693,7,07
727.9834,6,08
745.8848,7,07
780.8875,8,06
373.0042,4,1C
387.6508,5,1D
403.52234,6,1E
673.56,5,05
700.39,6,04
729.25,7,03
619.0197,3,1A
643.4307,4,1B
642.806,5,1C
693.07,7,07
720.71,7,06
750.39,7,05
449.58,8,06
460.95,9,05
479.66,6,04
178.8183,20,1F
186.1416,21,1G
195.7158,22,1H
290.2231,11,1F
301.584,12,1G
316.73648,13,1H
356.94,10,1C
371.16,11,1D
378.88,12,1E
306.3426,6,1B
318.5378,7,1C
324.7318,7,1D
486.8295,18,1D
535.6103,19,1C
535.0903,20,1C
517.7295,14,1D
538.0617,15,1E
537.5393,16,1F
286.2576,11,1F
337.9327,12,1G
346.18646,13,1H
297.1241,10,1F
309.3296,11,1G
309.02927,12,1G
323.5436,15,1C
336.5422,16,1D
336.21545,17,1E
840.9086,6,10
391.0189,10,1B
437.3689,11,1C
458.88254000000006,12,1D
965.831,3,11
990.2214,4,10
989.26,5,10
465.8278,7,03
477.2093,8,02
497.04815999999994,7,01
266.56,6,1F
326.78,7,1G
333.69,8,1H
484.5223,22,1D
504.0202,23,1E
515.7245,24,1F
480.3302,8,1B
499.8281,9,1C
499.34283,10,1C
479.23,8,1E
491.03,7,1F
491.03,8,1G
466.6415,7,1F
485.3257,8,1G
504.36435,7,1H
522.725,3,01
535.7442,4,1A
535.22406,5,1B
794.2639,15,08
813.7824,16,07
833.2945,17,06
303.66,8,1E
329.67,9,1F
369.51,10,1E
315.83,11,1A
328.44,12,1B
342.26,13,1C
423.56,14,1A
434.13,15,1B
452.42,16,1C
315.88,11,1F
360.59,12,1G
375.63,13,1H
313.37,7,1F
332.88,8,1G
349.96,9,1H
350.81800000000004,7,03
364.62,7,02
378.89838,7,01
286.1443,7,1E
297.5258,8,1F
309.4306,9,1G
345.11,6,1F
386.56,7,1G
402.83,6,1H
335.7491,6,03
335.7491,7,02
349.22202000000004,8,01
368.08,6,1E
405.08,7,1D
422.15,7,1E
498.3449,6,1E
499.1689,7,1F
517.3606,8,1G
386.7856,11,1F
438.0075,12,1G
437.58224,13,1H
222.4491,11,01
358.85,11,1F
408.93,12,1G
411.77,13,1H
177.0879,11,1F
208.3587,12,1G
212.24155,13,1H
306.08,11,1F
356.08,12,1G
363.4,13,1H
232.87,11,1F
274.75,12,1G
277.59,13,1H
212.8495,10,1E
294.9714,11,1F
297.11346000000003,12,1G
367.95,15,1A
360.0,16,1B
373.83,6,1C
405.82,9,01
415.7801,10,1A
436.52237,6,1B
370.57,6,1F
381.67,7,1G
399.97,6,1H
328.03,11,02
336.16,12,01
353.64,6,1A
354.89,11,1E
397.56,12,1F
397.56,13,1F
367.0714,7,1F
428.8714,8,1G
444.69263,6,1H
351.23,6,1D
382.61,7,1E
416.75,6,1D
284.9598,9,1F
296.3619,10,1G
296.07416,11,1G
318.8159,8,1A
318.0228,9,1B
332.31555,6,1C
309.6798,14,1F
344.4217,7,1G
361.45682,6,1H
516.1639,6,1B
529.1625,7,1C
541.6553299999999,6,1D
447.2054,6,1D
465.1068,7,1E
506.0519,6,1D
470.0888,11,1D
488.395,12,1E
511.0628,6,1F
227.62,9,1F
246.73,10,1G
255.67,6,1H
471.0602,6,01
467.0226,7,1A
483.61972000000003,6,1B
676.8645,11,06
654.9049,12,05
679.4693,13,04
578.0669,6,08
592.6826,7,07
617.2868,6,06
385.11699999999996,6,1D
424.1437,7,1E
440.80300000000005,6,1F
302.5728,8,1F
348.1091,9,1G
362.37265,6,1H
689.7704,7,07
333.18,8,1C
346.73,9,1D
361.36,6,1E
452.6953,9,1C
470.5658,10,1D
489.58792,11,1E
396.5,9,1D
400.08,10,1E
414.72,6,1F
425.7608,8,1C
440.42800000000005,9,1D
456.24832000000004,6,1E
316.54,14,1F
354.34,15,1G
368.97,16,1H
461.5842,8,05
439.9336,9,04
456.59817999999996,10,03
319.1867,7,1E
332.1544,8,1F
345.67197000000004,9,1G
727.8598,4,10
745.7406,5,09
753.1457,6,08
478.023,11,1D
526.0107,12,1C
547.428,6,1D
451.9949,6,03
463.3661,7,02
481.5926,6,01
443.46,7,1A
431.26,8,1B
440.2,6,1C
407.6,5,1F
417.77,6,1G
437.69,6,1H
438.4813,6,1F
484.82099999999997,7,1G
503.84985,6,1H
492.21,9,1F
504.4,10,1G
524.32,11,1H
486.41,7,1A
498.55,8,1B
524.16,6,1C
364.39,5,1D
379.12,6,1E
379.12,6,1E
564.15,6,05
578.37,7,04
590.56,6,03
496.7278,6,1B
508.923,7,1C
521.4046,6,1D
278.3987,14,1F
314.1912,7,1G
321.9947,6,1H
408.6628,7,1E
424.9265,8,1F
444.82642000000004,6,1G
862.2233,7,09
883.3383,8,08
913.3507,9,07
600.2634,12,1B
624.6435,13,1C
655.72,14,1D
365.4955,6,1F
400.2271,7,1G
416.1173,8,1H
412.05,9,01
394.18,10,1A
409.22,6,1B
331.16,6,1D
356.37,7,1E
371.41,6,1F
899.47,4,10
899.48,5,09
934.43,6,08
426.4406,6,08
443.4974,7,07
461.77405,6,06
336.8718,5,18
257.72,12,1F
296.34,13,1G
333.33,6,1F
393.18,10,1E
409.1,11,1F
424.55,6,1G
305.18,12,1C
317.37,13,1D
317.37,6,1D
574.89,6,05
671.12,7,07
702.83,6,06
283.94,16,1F
301.02,17,1G
313.61,6,1H
730.99,4,10
749.13,5,09
777.59,6,08
344.0921,14,1B
353.0222,15,1C
367.30154,6,1D
373.1278,9,01
382.0682,10,1A
381.69727,6,1B
382.4081,7,1F
416.5423,8,1G
433.209,7,1H
460.95,10,04
479.25,11,03
499.58,12,02
433.6815,9,1F
450.7383,10,1G
443.01538,6,1H
341.89,7,1B
355.46,8,1C
370.1,6,1D
395.52,11,01
384.087,12,1A
401.57755,6,1B
538.8857,11,01
515.9682,12,1A
539.82367,6,1B
382.21,6,1C
374.32,7,1D
388.16,8,1E
457.6702,11,1D
476.1896,7,1E
500.1146,6,1F
442.2511,10,1A
460.1525,11,1B
483.23897999999997,12,1C
404.4398,10,1A
414.3278,11,1B
430.98636,12,1C
556.0661,9,01
543.119,10,1A
567.79193,11,1B
694.14,13,08
650.95,14,07
674.9,15,06
514.72,7,1E
559.72,8,1F
559.72,9,1F
1004.191,9,08
1103.7462,7,10
1139.2722,8,09
437.1526,4,1E
454.23,5,1F
474.90407999999996,6,1G
648.3026,4,04
664.5766,5,03
698.0324,6,02
427.21,7,1A
425.59,8,1B
441.84,6,1C
330.07,7,1C
343.07,7,1D
357.3,8,1E
349.21,6,1F
358.15,7,1G
371.57,6,1H
331.454,8,1D
344.4732,9,1E
344.13876,10,1E
318.23,8,1F
351.15,7,1G
351.15,7,1H
536.424,6,02
549.4226,7,01
562.7087,6,1A
362.27,10,1F
391.54,11,1G
391.54,12,1H
915.63,4,10
938.35,5,09
973.32,6,08
370.28,9,1F
415.41,10,1G
432.47,11,1H
939.36,4,10
939.36,5,09
938.448,6,09
531.9641,6,07
550.638,7,06
627.2784,8,08
334.36,12,1F
374.68,13,1G
390.15,14,1H
794.77,4,1B
814.69,5,1C
849.65,6,1D
489.3942,11,02
508.923,12,01
534.4009,13,1A
491.2791,5,1B
483.99699999999996,6,1C
501.36995999999994,7,1D
451.5623,4,1D
469.4534,5,1E
488.4766,6,1F
412.5871,6,1F
458.9165,7,1G
477.1576,8,1H
246.4275,7,01
322.8432,8,1A
334.69254,9,1B
916.6382,5,10
939.4012,6,09
969.36945,7,08
322.47,6,1E
359.97,7,1F
374.6,6,1G
810.404,7,08
830.7259,8,07
993.1805,9,09
338.4683,8,1D
375.8676,9,1E
390.94797,7,1F
323.31,15,1F
361.92,16,1G
361.92,6,1H
555.18,14,1E
577.53,15,1F
577.62,16,1G
462.8202,13,1B
458.7723,14,1C
475.36713,15,1D
426.2449,13,1C
430.3546,14,1D
446.20525999999995,15,1E
285.2276,9,1F
319.60900000000004,10,1G
333.0976,11,1H
404.0072,7,1D
450.3572,7,1E
468.61688,7,1F
691.0167,4,09
718.6619,5,08
747.2186,6,07
425.4312,8,1D
435.8136,7,1E
435.39047,8,1F
430.9417,6,1E
432.0438,7,1F
440.89563,8,1G
341.6819,7,1D
355.4942,7,1E
364.11166000000003,7,1F
331.4,7,1F
344.75,8,1G
362.24,9,1H
309.92,6,1F
370.08,7,1G
387.57,8,1H
974.352,5,09
1101.1704,6,11
1112.3313,7,10
384.17,16,1F
393.92,17,1G
393.92,18,1H
319.73,6,1B
317.84,7,1C
330.04,8,1D
450.43,18,1E
478.47,19,1F
498.39,20,1G
307.31,8,1D
313.41,9,1E
325.19,10,1F
360.55,8,1B
353.23,7,1C
366.65,6,1D
465.41,9,02
477.19,10,01
495.49,11,1A
712.35,6,09
748.12,7,11
754.18,6,10
426.0,9,1D
443.06,10,1E
461.76,11,1F
522.56,8,02
535.66,9,01
558.08,7,1A
359.68,8,03
359.77,9,02
374.9,10,01
438.574,9,1F
456.4651,10,1G
475.53177,7,1H
376.0,9,1F
391.03,10,1G
407.29,7,1H
386.08,11,03
395.84,12,02
395.84,13,01
694.0,14,01
711.49,15,1A
741.57,16,1B
409.5383,10,01
419.6632,11,1A
437.16037,12,1B
321.5763,8,1F
369.5434,7,1G
384.60934,8,1H
457.22,9,08
475.51,10,07
475.51,6,07
438.6873,7,1E
471.6782,8,1F
471.22025,6,1F
315.65,7,1F
341.26,7,1G
355.49,8,1H
697.39,8,12
725.43,9,11
733.98,7,10
277.02,14,1F
314.82,7,1G
328.23,7,1H
716.28,8,06
734.17,9,05
765.06,10,04
453.14,11,01
464.53,7,1A
464.53,7,1A
238.98,10,1F
267.84,11,1G
281.67,12,1H
242.41,11,1F
271.68,12,1G
283.06,7,1H
327.1795,9,1F
372.5819,10,1G
387.65518,7,1H
254.71,12,1F
285.19,13,1G
296.98,6,1H
344.45,14,1A
358.27,15,1B
373.31,16,1C
323.6,11,1E
372.0,12,1F
387.43,13,1G
242.31,9,1F
271.59,7,1G
271.59,8,1H
317.858,6,1D
338.1902,7,1E
351.65045,8,1F
334.43,8,1F
356.38,7,1G
356.38,8,1H
582.95,9,07
567.22,10,06
588.69,11,05
352.07,7,1F
366.3,7,1G
381.75,8,1H
671.0256,7,07
661.2624,8,06
744.8407,9,08
350.82,7,1B
353.23,8,1C
378.84,9,1B
320.0,8,1F
358.22,9,1G
372.85,6,1H
455.71,8,03
474.0,9,02
493.51,10,01
337.6134,6,1D
351.4257,7,1E
368.94794,8,1F
501.8469,6,1C
498.5921,7,1D
516.78436,6,1E
332.0617,9,1D
340.1884,10,1E
356.12662,7,1F
479.1869,7,1B
498.7054,8,1C
539.6385,7,1B
272.49,4,1C
269.14,5,1D
282.15,6,1E
281.7462,16,1D
293.1174,17,1E
292.83282,18,1F
353.5063,7,1F
377.8761,8,1G
397.0088,7,1H
348.66,8,03
362.48,7,02
380.78,8,01
802.97,4,13
802.97,5,12
819.64,6,11
600.39,4,06
615.43,5,05
646.73,6,04
359.3258,4,1D
373.9415,5,1E
373.57846,6,1E
664.1646,6,13
630.8441,7,12
635.1091,8,11
580.2299,7,03
387.22,11,1F
432.35,12,1G
443.32,13,1H
410.8979,8,1F
457.423,7,1G
477.28107,8,1H
381.7283,9,1F
402.0605,10,1G
417.8975,11,1H
853.1078,9,11
874.2434,10,10
909.1421,11,09
285.9074,12,1F
322.5136,13,1G
334.37354,14,1H
477.9097,8,1F
494.9871,9,1G
494.50653,10,1G
445.0836,14,1F
491.4027,15,1G
511.24835,16,1H
369.18,7,1F
369.18,8,1F
369.18,9,1F
369.5,10,1D
384.13,7,1E
384.13,7,1E
257.6854,9,1F
319.4854,10,1G
333.78702000000004,7,1H
429.4,13,1B
446.47,14,1C
557.85,7,1A
494.08,4,1B
514.0,5,1C
535.14,6,1D
971.084,4,11
995.4847,5,10
1030.2451,6,09
355.1234,10,01
368.94599999999997,11,1A
384.0125,12,1B
426.6672,9,1F
471.3795,10,1G
470.92184000000003,7,1G
283.32,7,1E
309.74,8,1F
322.34,6,1G
391.0189,15,1B
415.4093,16,1C
432.0771,17,1D
347.6,5,1E
356.42,6,1F
370.93,7,1G
478.5689,7,1C
475.3759,8,1D
492.8087,6,1E
571.8457,9,01
594.6293,7,1A
618.4187,8,1B
381.22,4,01
396.66,5,1A
396.66,6,1B
316.36,6,1F
363.91,7,1G
379.36,8,1H
449.14,22,1D
467.13,23,1E
506.97,6,1D
373.24,7,1D
384.47,8,1E
398.97,9,1F
405.24,11,1F
414.2,12,1G
430.06,6,1H
393.048,18,02
402.8021,19,01
402.41104,20,1A
349.78,6,1E
389.04,7,1F
464.5,8,1D
293.7045,11,1E
349.8086,12,1D
365.7066,13,1E
501.2495,12,1F
547.5789,13,1G
547.04724,14,1G
395.0874,15,1F
441.4271,7,1G
458.88254000000006,7,1H
317.7241,10,1F
330.7227,11,1G
344.2108,12,1H
418.24,11,01
434.91,12,1A
445.89,13,1B
319.51,15,1F
340.24,16,1G
354.47,17,1H
342.6089,9,1E
356.4212,10,1F
370.68695,11,1G
332.23,6,1E
341.6,7,1F
357.59,6,1G
711.9875,8,08
713.1205,9,07
746.09705,10,06
471.2662,9,1F
490.1255,10,1G
508.4495,6,1H
526.18,14,03
499.58,15,02
518.68,16,01
388.5881,6,1F
404.0278,7,1G
403.63552999999996,7,1H
410.27,7,03
420.71,7,02
438.19,7,01
256.08,10,1F
289.82,11,1G
302.01,7,1H
244.64,7,1F
273.81,8,1G
284.03,9,1H
268.55,9,1E
269.09,10,1F
279.25,11,1G
414.8222,12,1B
425.4003,13,1C
442.86102,14,1D
387.35,5,1B
397.11,6,1C
417.83,7,1D
370.69,7,01
349.96,8,1A
364.18,7,1B
291.42,6,1F
351.59,7,1G
368.25,8,1H
753.1772,9,04
771.882,7,03
750.8510000000001,8,02
332.0514,6,1D
369.4404,7,1E
386.14255,7,1F
392.71,5,02
402.46,6,01
412.63,7,1A
551.1942,8,01
565.0065,7,1A
587.20917,7,1B
520.3045,3,11
532.4894,4,10
606.6984,5,12
261.03,13,1F
292.32,14,1G
298.42,15,1H
526.5051,6,1B
529.5024,7,1C
528.98834,8,1C
367.33,7,1F
369.89,8,1G
377.76,6,1H
303.64,11,1D
331.68,12,1E
343.88,13,1F
528.493,13,1B
541.9448,14,1C
564.1801,15,1D
383.35,4,1C
398.8,5,1D
398.8,6,1E
267.59,15,1F
314.86,16,1G
326.65,6,1H
276.85,9,1F
301.24,10,1G
313.43,6,1H
294.9714,7,1F
338.87,7,1G
352.3399,7,1H
269.91,7,1F
294.71,8,1G
305.69,6,1H
322.4,6,1F
353.66,7,1G
366.66,6,1H
350.46,7,1E
480.8555,3,02
472.4095,4,01
494.39334,5,1A
255.96,12,1D
260.59,13,1E
286.61,7,1D
286.8,6,1F
336.58,7,1G
349.19,6,1H
630.8647,3,01
627.6099,4,1A
650.5544,5,1B
326.8087,3,1A
338.1902,4,1B
350.0555,5,1C
474.7682,8,1D
493.4627,9,1E
513.2857700000001,10,1F
326.24,11,1B
315.56,12,1C
322.07,13,1D
386.43,11,1F
398.8,12,1G
407.34,6,1H
533.2413,7,01
546.2399,8,1A
545.7096,9,1A
844.5897,3,11
810.4864,4,10
826.78094,5,09
885.3262,4,10
836.5454,5,09
853.60693,6,08
293.87,7,1D
301.65,8,1E
308.15,9,1F
332.0514,7,1D
354.01099999999997,8,1E
360.9526,9,1F
524.21,3,07
516.24,4,06
527.22,5,05
444.1669,7,1D
461.5327,8,1E
472.73287999999997,9,1F
447.65,6,1E
496.73,7,1F
507.3,8,1G
410.5374,20,1F
425.1634,7,1G
433.68234,8,1H
826.55,5,11
809.03,6,10
826.08,7,09
300.35,17,1D
308.13,18,1E
319.91,19,1F
408.19,6,1E
412.18,7,1F
428.03,7,1G
358.13,7,1C
372.36,8,1D
387.8,7,1E
211.54,15,1F
231.68,16,1G
236.56,17,1H
401.8442,9,1F
427.0174,10,1G
443.69452,7,1H
501.2495,8,04
508.5419,9,03
526.7451,6,02
463.8708,6,1F
474.4489,7,1G
491.8517,7,1H
411.09,10,04
411.11,11,03
426.31,12,02
455.7132,6,1A
467.0432,7,1B
490.16415,8,1C
418.91,7,1F
433.7,8,1G
449.55,7,1H
452.3863,8,1D
470.092,9,1E
488.91907000000003,7,1F
356.15,11,1E
374.0,12,1D
388.23,13,1E
377.4332,6,1F
390.4215,7,1G
404.67484,6,1H
386.8268,6,1F
411.2069,7,1G
426.25296,6,1H
444.1257,8,1F
462.0168,9,1G
502.9752,7,1F
281.1385,3,1D
290.8823,4,1E
290.59988,5,1E
631.68,6,1C
656.88,7,1D
681.68,8,1E
344.28,7,1F
358.1,8,1G
371.51,7,1H
354.5878,9,1F
396.8693,10,1G
413.52423,11,1H
495.91,9,1D
515.6,10,1E
555.63,11,1D
399.19,12,1A
378.05,13,1B
392.27,14,1C
453.25,6,02
471.54,7,01
471.54,8,1A
704.8496,4,10
722.7201,5,09
722.01843,6,08
371.6652,14,1D
484.6768,15,1C
506.93685999999997,16,1D
547.1257,6,03
527.6072,7,02
551.4514,8,01
505.1738,6,03
506.7291,7,02
529.7086,8,01
1109.5778,3,11
1051.0532,4,10
1085.7699,5,09
1014.8487,5,12
1065.2672,6,14
1072.3414,6,13
454.97,3,1D
448.76,4,1E
465.83,5,1F
329.43,14,1F
338.21,15,1G
351.22,16,1H
334.53,3,1D
349.58,4,1E
362.99,5,1F
884.45,3,11
839.41,4,10
871.12,5,09
405.45,6,1F
417.07,7,1G
432.93,6,1H
487.62,9,08
464.1,10,07
481.59,7,06
220.11,6,1F
227.64,7,1G
236.18,6,1H
537.248,6,02
519.3466,7,01
529.4102,6,1A
276.1327,9,1F
309.4532,10,1G
324.58777000000003,6,1H
964.3787,3,14
410.33,9,1D
428.63,10,1E
448.95,6,1F
341.8055,7,1D
352.3527,8,1E
365.03775,7,1F
295.69,8,1E
331.22,9,1F
347.91,10,1G
482.4314,7,1A
478.7028,8,1B
500.98922999999996,6,1C
687.74,6,1A
672.04,7,1B
696.86,8,1C
384.5402,6,1E
424.2055,7,1F
443.93118,8,1G
846.6085,3,11
801.8962,4,10
806.7977,5,09
419.0555,6,1B
417.4281,7,1C
425.97513,6,1D
714.4698,3,11
679.5013,4,10
774.6929299999999,5,12
277.4511,6,1F
339.2305,7,1G
351.0845,8,1H
927.1854,4,10
907.6669,5,09
942.5126,6,08
332.3604,3,1E
372.1905,4,1F
388.88998,5,1G
513.7434,3,03
538.1338,4,02
557.1109,5,01
283.81,8,1E
334.98,9,1F
347.18,7,1G
570.53,3,09
559.78,4,08
580.51,5,07
422.82,10,1C
429.27,11,1D
445.12,7,1E
655.2551,3,10
640.6291,4,09
663.55066,5,08
303.9015,3,1D
323.4097,4,1E
335.27907999999996,5,1F
442.9,3,1D
458.3603,4,1E
474.96582,5,1F
363.4046,3,1C
393.4806,4,1D
407.73096,5,1E
372.11,10,1F
372.11,11,1F
481.2675,6,01
477.2093,7,1A
494.59915,6,1B
567.0047,6,1A
580.8067,7,1B
601.3579,7,1C
690.8828,4,07
707.9911,5,06
736.5376,6,05
468.59,6,1B
475.22,7,1C
492.71,6,1D
425.8638,9,1D
447.0097,10,1C
462.80304,11,1D
438.8212,9,1D
497.53,4,05
614.67,7,02
588.74,8,01
610.71,6,1A
431.8378,7,1C
431.8378,8,1C
350.3957,3,1D
385.32300000000004,4,1C
401.1968,5,1D
485.74,12,1D
482.61,13,1E
501.03,14,1F
304.8491,9,1F
333.30800000000005,10,1G
345.15747000000005,11,1H
572.577,6,1A
562.8229,7,1B
583.3915400000001,6,1C
310.5,6,1F
347.84,7,1G
360.81,7,1H
434.8042,7,1F
486.0261,8,1G
503.41765999999996,9,1H
475.2626,8,1F
475.9939,9,1G
493.4055,6,1H
432.0438,4,1D
440.1602,5,1E
439.73285,6,1E
469.3298,7,1D
481.2675,8,1E
492.70578,7,1F
330.28,6,1F
365.5,7,1G
380.38,7,1H
451.8198,6,1F
498.211,7,1G
539.14453,7,1F
547.0227,6,01
601.7878,7,03
623.4608,7,02
600.95,10,02
615.82,11,01
615.65,7,1A
514.4747,12,02
514.4747,13,01
535.9032,14,1A
523.7653,11,1B
544.5198,12,1C
592.7246,13,1B
352.6823,16,1F
364.8878,7,1G
378.3427,8,1H
279.645,3,1E
289.3991,4,1F
299.69626,5,1G
408.3847,9,1E
410.4241,10,1F
425.85165,11,1G
426.4,7,1F
443.37,7,1G
454.24,8,1H
417.9019,13,01
459.3697,14,03
470.28387000000004,15,02
309.22,8,1F
309.73,7,1G
324.77,6,1H
257.45,13,1F
288.23,14,1G
298.8,15,1H
564.1928,9,05
578.0257,10,04
592.06604,11,03
418.29,6,1B
411.38,7,1C
430.89,7,1D
342.2484,11,1E
342.2484,12,1F
354.9021,13,1G
222.5727,14,1F
238.0845,15,1G
246.87769,7,1H
274.62,7,1D
282.12,8,1E
292.69,9,1F
328.09,13,1D
332.87,14,1E
345.48,15,1F
568.85,6,07
534.57,7,06
554.9,7,05
342.02,8,03
342.03,9,02
356.27,7,01
418.36,9,1B
417.06,10,1C
432.92,7,1D
249.15,12,1E
302.47,13,1F
313.86,14,1G
230.75,6,1F
291.08,7,1G
302.06,7,1H
387.7744,15,1C
403.2038,16,1D
402.81235,6,1E
397.7654,6,1D
398.5894,7,1E
413.6477,6,1F
288.47,9,1A
282.51,10,1B
293.08,11,1C
319.08,17,1E
318.28,18,1F
330.47,19,1G
342.6089,6,1F
349.9013,7,1G
362.56815,8,1H
251.79,7,1F
261.95,8,1G
272.93,7,1H
344.1127,12,1A
342.4647,13,1B
355.13876,14,1C
481.2984,8,02
493.1228,9,01
515.88916,6,1A
407.72,7,1F
440.24,7,1G
458.13,8,1H
500.84,6,1B
494.74,7,1C
513.03,7,1D
960.784,4,04
936.7438,5,03
970.76886,6,02
339.54,6,1F
391.04,7,1G
405.68,6,1H
458.0616,7,01
469.474,7,1A
469.0182,7,1A
908.7689999999999,3,14
898.2115,4,13
903.83246,5,12
840.87,6,11
820.39,7,10
850.78,8,09
319.3515,13,1F
357.5645,14,1G
370.21362,15,1H
578.0257,4,05
600.7887,5,04
600.2054,6,04
406.3247,9,1F
420.13699999999994,10,1G
428.6814,6,1H
352.2291,4,1C
352.2291,5,1D
359.19302000000005,6,1E
297.5258,21,1D
340.621,22,1E
354.0995,23,1F
387.7744,10,1C
447.1127,11,1B
465.37555,12,1C
410.01,6,1F
421.82,7,1G
430.58,6,1H
404.8415,11,1C
421.1052,12,1D
437.75717000000003,13,1E
409.0233,7,01
419.5808,8,1A
434.59814000000006,9,1B
306.89,3,1F
343.89,4,1G
361.36,5,1H
1099.8444,9,14
1141.3018,10,13
1163.7682,11,12
1034.1097,7,10
1060.1378,8,09
1094.8457,9,08
298.68,5,1E
338.52,6,1F
355.59,7,1G
744.2265,10,06
729.5799,11,05
755.6873,12,04
295.49,14,1E
341.44,15,1F
348.76,7,1G
511.4671,13,1B
516.8643,14,1C
526.8686,15,1D
358.47,7,1D
356.49,8,1E
363.81,6,1F
389.47,7,02
404.91,7,01
404.89,8,1A
451.9949,6,1F
498.1595,7,1G
497.67584000000005,6,1H
474.2017,6,05
474.2635,7,04
483.61972000000003,8,03
299.14,11,1F
308.56,12,1G
